layer,order_k,n_subsets,descriptive_raw_score_mean,descriptive_raw_score_sd_across_subsets,min_subset_raw_score,max_subset_raw_score,max_critic_seed_sd,interpretation
27,1,4,1.0181884587638907,0.14538734901744826,0.8041612969504461,1.1255232261286843,0.07614751998377305,descriptive mean of independently estimated fixed-subset neural dependence scores
28,1,4,1.0020732374654877,0.09804089467965056,0.8730853928460015,1.111106577846739,0.11955406964487922,descriptive mean of independently estimated fixed-subset neural dependence scores
29,1,4,1.0134399177299607,0.11105536701820423,0.8599094682269626,1.1194601919915943,0.08316843918111627,descriptive mean of independently estimated fixed-subset neural dependence scores
30,1,4,1.027631427678797,0.11706242047439712,0.8675076299243503,1.1399403015772502,0.20330854331055195,descriptive mean of independently estimated fixed-subset neural dependence scores
0,2,6,-1.0230750949294478e-07,1.0078131303160189e-07,-2.077884144253201e-07,2.566311094495985e-08,2.9354444464345985e-07,descriptive mean of independently estimated fixed-subset neural dependence scores
1,2,6,0.5742275037423328,0.367031612457614,-0.16921404169665447,0.7901744196812311,0.9184818904556209,descriptive mean of independently estimated fixed-subset neural dependence scores
2,2,6,0.6614659087801421,0.21839068616174304,0.38930009057124454,0.8660195122162501,0.2973816014490866,descriptive mean of independently estimated fixed-subset neural dependence scores
3,2,6,0.753244375879014,0.18719786250576118,0.47247980866167283,0.9082912305990855,0.41345621368115754,descriptive mean of independently estimated fixed-subset neural dependence scores
4,2,6,0.7731702787180742,0.12403310264586918,0.5578690022230148,0.8928272260559931,0.19219891377211828,descriptive mean of independently estimated fixed-subset neural dependence scores
5,2,6,0.8168449968927437,0.1411846521366154,0.5976717505190109,0.9825061692131891,0.08903040404697228,descriptive mean of independently estimated fixed-subset neural dependence scores
6,2,6,0.7907355702309697,0.11297160536911646,0.613728404045105,0.934895783662796,0.10221660119920137,descriptive mean of independently estimated fixed-subset neural dependence scores
7,2,6,0.8540161254781263,0.15909311947961838,0.6589675363567141,1.0096824963887532,0.08439204229085277,descriptive mean of independently estimated fixed-subset neural dependence scores
8,2,6,0.8178037109750288,0.13453359989167776,0.584181398153305,0.964040305879381,0.09121701932520183,descriptive mean of independently estimated fixed-subset neural dependence scores
9,2,6,0.7987741873496108,0.19046467014646185,0.5121668113602532,0.9929363975922266,0.5020817721026537,descriptive mean of independently estimated fixed-subset neural dependence scores
10,2,6,0.8441928111844592,0.13293322447454467,0.6767352985011206,1.0234661135408614,0.14524522038220827,descriptive mean of independently estimated fixed-subset neural dependence scores
11,2,6,0.8385970041983658,0.1282810504708857,0.6628722846508026,1.0111492276191711,0.15677067387825458,descriptive mean of independently estimated fixed-subset neural dependence scores
12,2,6,0.8817484887937704,0.1243565794648082,0.7421664678388171,1.0490059190326266,0.07187504850043001,descriptive mean of independently estimated fixed-subset neural dependence scores
13,2,6,0.8441987843425186,0.1210359928947301,0.7300880087746514,0.9630862722794215,0.0982012750161066,descriptive mean of independently estimated fixed-subset neural dependence scores
14,2,6,0.8391441247529454,0.13837718495505513,0.657104719016287,1.0528963373767006,0.19458726031342377,descriptive mean of independently estimated fixed-subset neural dependence scores
15,2,6,0.8633705314110826,0.12589912922292404,0.7197075701422162,0.9950128164556292,0.1284640771936213,descriptive mean of independently estimated fixed-subset neural dependence scores
16,2,6,0.8336855556677888,0.0911838307099598,0.7245422667927212,0.9526455667283799,0.20692714647877672,descriptive mean of independently estimated fixed-subset neural dependence scores
17,2,6,0.8314907819170644,0.10679847604605994,0.6866908644636472,0.993409150176578,0.1523165850869237,descriptive mean of independently estimated fixed-subset neural dependence scores
18,2,6,0.8012278931284392,0.13133036357449487,0.6137976596752802,0.9629133641719818,0.11828087769536737,descriptive mean of independently estimated fixed-subset neural dependence scores
19,2,6,0.8054138390968243,0.15294848469849398,0.6377812772989272,0.998866049779786,0.15215775542185003,descriptive mean of independently estimated fixed-subset neural dependence scores
20,2,6,0.7887991426719559,0.1418046787541436,0.6238537132740021,1.0225793222586315,0.25719829354140883,descriptive mean of independently estimated fixed-subset neural dependence scores
21,2,6,0.8269373517207526,0.12841689337252202,0.6518606477313572,1.00309752424558,0.07994420906083084,descriptive mean of independently estimated fixed-subset neural dependence scores
22,2,6,0.820043524382291,0.12633126210425294,0.65646250711547,0.9732578959729937,0.06778232931925399,descriptive mean of independently estimated fixed-subset neural dependence scores
23,2,6,0.818779310832421,0.14464443301761712,0.6449593645003106,0.9679662403133181,0.17957155830577892,descriptive mean of independently estimated fixed-subset neural dependence scores
24,2,6,0.790689600010713,0.17322183302626734,0.5542082720332675,0.9632517165607876,0.4118178267745447,descriptive mean of independently estimated fixed-subset neural dependence scores
25,2,6,0.8166704290994892,0.1060187593495162,0.64767105711831,0.9398294422361585,0.09210936151171757,descriptive mean of independently estimated fixed-subset neural dependence scores
26,2,6,0.8202031917042203,0.1350405325668514,0.6105969862805473,1.0003803008132512,0.10312157875692535,descriptive mean of independently estimated fixed-subset neural dependence scores
27,2,6,0.8453646500905355,0.11568079819107725,0.6303948130872515,0.9567680690023633,0.11036431563312345,descriptive mean of independently estimated fixed-subset neural dependence scores
28,2,6,0.7801418722503716,0.21404744759056735,0.4376490546597375,1.0141911605993907,0.35413277843102187,descriptive mean of independently estimated fixed-subset neural dependence scores
29,2,6,0.857852271033658,0.15313823118133213,0.6613367630375757,1.0758740040991042,0.05995415393760169,descriptive mean of independently estimated fixed-subset neural dependence scores
30,2,6,0.8928268755337706,0.1254021152723926,0.71723499480221,1.0469592031505373,0.1127328103282735,descriptive mean of independently estimated fixed-subset neural dependence scores
0,3,4,-7.409188482496474e-08,1.9066359947955315e-07,-3.489355246225993e-07,8.195638656616211e-08,2.8666183481471455e-07,descriptive mean of independently estimated fixed-subset neural dependence scores
1,3,4,0.6620668268038167,0.11236891445851754,0.5934393910898103,0.8294113584690624,0.15274826048822016,descriptive mean of independently estimated fixed-subset neural dependence scores
2,3,4,0.6488488231682116,0.13878206817628275,0.5309917396969266,0.8429235733217664,0.2715467881186835,descriptive mean of independently estimated fixed-subset neural dependence scores
3,3,4,0.7160316573248969,0.12585715766910185,0.597625405424171,0.8902573684851328,0.14386450513769633,descriptive mean of independently estimated fixed-subset neural dependence scores
4,3,4,0.665127258333895,0.13037595153390963,0.5776415599717035,0.859180670645502,0.17585284233696377,descriptive mean of independently estimated fixed-subset neural dependence scores
5,3,4,0.6835617023623652,0.13039082659029433,0.5500192840894064,0.8541646409365865,0.13184441186212467,descriptive mean of independently estimated fixed-subset neural dependence scores
6,3,4,0.6790525760087702,0.14798051391090855,0.5182203948497773,0.8724438365962771,0.1484735786676935,descriptive mean of independently estimated fixed-subset neural dependence scores
7,3,4,0.6864636695633332,0.17257570039038936,0.4788372980223761,0.9004279466138946,0.13472424300824487,descriptive mean of independently estimated fixed-subset neural dependence scores
8,3,4,0.6983467042446136,0.21188695859887996,0.45675678551197046,0.9638433472977743,0.1973371270280541,descriptive mean of independently estimated fixed-subset neural dependence scores
9,3,4,0.7212880942970514,0.17312666646866048,0.5564827902449502,0.9627073688639536,0.1102380763414822,descriptive mean of independently estimated fixed-subset neural dependence scores
10,3,4,0.7497681174427271,0.1705489803279949,0.6013870098524624,0.9907571342256333,0.059160860722006665,descriptive mean of independently estimated fixed-subset neural dependence scores
11,3,4,0.7728419988933537,0.1371003988994182,0.6747069044245614,0.9666397389438418,0.05663025125263539,descriptive mean of independently estimated fixed-subset neural dependence scores
12,3,4,0.7241488471627235,0.23249976832475314,0.4207780924108293,0.9849513719479243,0.2208076001102214,descriptive mean of independently estimated fixed-subset neural dependence scores
13,3,4,0.7316078572637505,0.17043742209416576,0.5524488521946801,0.9284648497899374,0.15673248103003398,descriptive mean of independently estimated fixed-subset neural dependence scores
14,3,4,0.7242353887607653,0.18293295999713582,0.5913494966096349,0.982807899514834,0.15704442961166237,descriptive mean of independently estimated fixed-subset neural dependence scores
15,3,4,0.75853366839389,0.12995030454652648,0.6609427084525427,0.9487058735556072,0.11930446511043238,descriptive mean of independently estimated fixed-subset neural dependence scores
16,3,4,0.7340576383802626,0.13892512692386808,0.5975650383366479,0.9229561189810435,0.11241333290024723,descriptive mean of independently estimated fixed-subset neural dependence scores
17,3,4,0.6751720230612489,0.16807414688090716,0.4816340572304196,0.8817384342352549,0.12422201819641635,descriptive mean of independently estimated fixed-subset neural dependence scores
18,3,4,0.7148925924880637,0.140194620362556,0.6379490064250097,0.92470683157444,0.07763511110929444,descriptive mean of independently estimated fixed-subset neural dependence scores
19,3,4,0.6684851553291082,0.18432000711047392,0.46144572314288884,0.9069138997130923,0.2008325976701938,descriptive mean of independently estimated fixed-subset neural dependence scores
20,3,4,0.7041659853938553,0.16161535445443834,0.5482761338353157,0.9262821127971014,0.14211243070273702,descriptive mean of independently estimated fixed-subset neural dependence scores
21,3,4,0.678258531830377,0.1705323869619071,0.5123235682646433,0.9140819824404187,0.161598232606888,descriptive mean of independently estimated fixed-subset neural dependence scores
22,3,4,0.6727822199463844,0.1566621369863472,0.5337970298197535,0.8816688275999492,0.1794099299272833,descriptive mean of independently estimated fixed-subset neural dependence scores
23,3,4,0.6516748884071907,0.19477131538614334,0.4362819608714845,0.9088310740060277,0.28011234530557116,descriptive mean of independently estimated fixed-subset neural dependence scores
24,3,4,0.6780066320465671,0.13787840640650909,0.5231658269961675,0.8588804966873593,0.15220710376883295,descriptive mean of independently estimated fixed-subset neural dependence scores
25,3,4,0.676734834495518,0.12690261206536987,0.5933892495102353,0.8615943607356812,0.16834542274818268,descriptive mean of independently estimated fixed-subset neural dependence scores
26,3,4,0.6952196949472029,0.12395033471120605,0.5604977607727051,0.86059456732538,0.07190977375224451,descriptive mean of independently estimated fixed-subset neural dependence scores
27,3,4,0.7254891556998093,0.09771876255864784,0.6407750447591146,0.8632621483670341,0.1254202117399885,descriptive mean of independently estimated fixed-subset neural dependence scores
28,3,4,0.6739008041719596,0.15037947826709386,0.5126340902513928,0.8544491032759348,0.3674093051683747,descriptive mean of independently estimated fixed-subset neural dependence scores
29,3,4,0.7160697283430232,0.11659011954434768,0.6259062737226486,0.8708105716440412,0.14008998784971072,descriptive mean of independently estimated fixed-subset neural dependence scores
30,3,4,0.734294099940194,0.16633380238926188,0.5759676678313149,0.9438504858149422,0.18157214360138557,descriptive mean of independently estimated fixed-subset neural dependence scores
0,4,1,-4.548993375566271e-07,0.0,-4.548993375566271e-07,-4.548993375566271e-07,2.92208686462867e-07,descriptive mean of independently estimated fixed-subset neural dependence scores
1,4,1,0.6181564389003648,0.0,0.6181564389003648,0.6181564389003648,0.10586609995549638,descriptive mean of independently estimated fixed-subset neural dependence scores
2,4,1,0.5526042125291295,0.0,0.5526042125291295,0.5526042125291295,0.13608295896223088,descriptive mean of independently estimated fixed-subset neural dependence scores
3,4,1,0.6602447686923875,0.0,0.6602447686923875,0.6602447686923875,0.05443085819396381,descriptive mean of independently estimated fixed-subset neural dependence scores
4,4,1,0.5746305514540936,0.0,0.5746305514540936,0.5746305514540936,0.0737625528948452,descriptive mean of independently estimated fixed-subset neural dependence scores
5,4,1,0.6653693550162845,0.0,0.6653693550162845,0.6653693550162845,0.052760355683688406,descriptive mean of independently estimated fixed-subset neural dependence scores
6,4,1,0.6739178424080213,0.0,0.6739178424080213,0.6739178424080213,0.10642078524272829,descriptive mean of independently estimated fixed-subset neural dependence scores
7,4,1,0.6490493441621462,0.0,0.6490493441621462,0.6490493441621462,0.07539091144292932,descriptive mean of independently estimated fixed-subset neural dependence scores
8,4,1,0.6756947305467395,0.0,0.6756947305467395,0.6756947305467395,0.07550441859672613,descriptive mean of independently estimated fixed-subset neural dependence scores
