layer,order_k,n_subsets,mean_peak_normalized_score,sd_peak_normalized_score_across_subsets,min_peak_normalized_score,max_peak_normalized_score,interpretation
29,1,4,0.9476030302827715,0.04739028126996238,0.8896781989335649,0.9877281549281575,descriptive mean after within-subset peak normalization
30,1,4,0.9604285560531536,0.04578688213840067,0.9019638714102426,1.0,descriptive mean after within-subset peak normalization
0,2,6,-1.1195204892426194e-07,1.047715850087945e-07,-2.157526489641773e-07,2.3853267991588997e-08,descriptive mean after within-subset peak normalization
1,2,6,0.5962010922548193,0.40666530859678013,-0.2280001172639939,0.8087082749978889,descriptive mean after within-subset peak normalization
2,2,6,0.7068303465396549,0.1735005110866745,0.4663801747714566,0.8992128090109364,descriptive mean after within-subset peak normalization
3,2,6,0.8122734533791975,0.13105075678541492,0.5660291920720446,0.9135034891441028,descriptive mean after within-subset peak normalization
4,2,6,0.8395559250550977,0.057268782265307634,0.7516763777370931,0.914622127540334,descriptive mean after within-subset peak normalization
5,2,6,0.8851622358208137,0.048336098188561584,0.8053068636466779,0.9490869652621186,descriptive mean after within-subset peak normalization
6,2,6,0.8629468862068368,0.08056631491904151,0.7191910618601305,0.9350119440247096,descriptive mean after within-subset peak normalization
7,2,6,0.9251069343267035,0.07609256390852363,0.7894408509481637,1.0,descriptive mean after within-subset peak normalization
8,2,6,0.8881870925530676,0.07082175864053934,0.7871298737794455,0.9563480593318273,descriptive mean after within-subset peak normalization
9,2,6,0.8628037615450546,0.1354038793579363,0.6135740853382122,0.9870133395054005,descriptive mean after within-subset peak normalization
10,2,6,0.9173033399019372,0.044262746135198004,0.8638853207039606,0.9764812247429098,descriptive mean after within-subset peak normalization
11,2,6,0.9128957066847668,0.06894080815245303,0.7941187260269066,0.9892371959130801,descriptive mean after within-subset peak normalization
12,2,6,0.9599556245157785,0.04340151920894519,0.9025717454747351,1.0,descriptive mean after within-subset peak normalization
13,2,6,0.9195925448831624,0.06076436941855813,0.8558066187191057,1.0,descriptive mean after within-subset peak normalization
14,2,6,0.9106748154536201,0.03732829209433268,0.8693884636463909,0.9786427902943485,descriptive mean after within-subset peak normalization
15,2,6,0.9389322186838901,0.03238169330511266,0.8827563233264033,0.9697387329260495,descriptive mean after within-subset peak normalization
16,2,6,0.9120171863399054,0.06796492580516465,0.797290177334971,0.9762530351210592,descriptive mean after within-subset peak normalization
17,2,6,0.9067237565650214,0.04728966771821005,0.8386778393125675,0.9781205610364618,descriptive mean after within-subset peak normalization
18,2,6,0.8694479026046006,0.042635045125970376,0.8270350201386141,0.9250775428620972,descriptive mean after within-subset peak normalization
19,2,6,0.8720377294245697,0.06369133215182798,0.764059785180557,0.9522024915749964,descriptive mean after within-subset peak normalization
20,2,6,0.8587354230279515,0.09595333352571725,0.693364629751559,0.9504638260266363,descriptive mean after within-subset peak normalization
21,2,6,0.8981955021687494,0.030020117990817746,0.86997250963985,0.9395900506380815,descriptive mean after within-subset peak normalization
22,2,6,0.8920504737619437,0.058318942514718884,0.7864398344993242,0.9658037121076861,descriptive mean after within-subset peak normalization
23,2,6,0.8874185448985225,0.054995672880680385,0.7857154071026949,0.9318573159052591,descriptive mean after within-subset peak normalization
24,2,6,0.8542049065317124,0.10385857326344128,0.6639396111914343,0.9487296080248744,descriptive mean after within-subset peak normalization
25,2,6,0.8896287232445456,0.032767517086008856,0.8652993309015243,0.9475435557929329,descriptive mean after within-subset peak normalization
26,2,6,0.889905467903441,0.04581693251377257,0.8227224116694477,0.9449632843822751,descriptive mean after within-subset peak normalization
27,2,6,0.9207201058015192,0.06022659218333543,0.849398134252759,1.0,descriptive mean after within-subset peak normalization
28,2,6,0.8403458665889895,0.16088062308033976,0.5243020681070648,0.9587596182114286,descriptive mean after within-subset peak normalization
29,2,6,0.92957137668095,0.05446674829866026,0.8591932286458593,1.0,descriptive mean after within-subset peak normalization
30,2,6,0.971326691060321,0.02691737176695942,0.9267868352244256,0.9980488995867851,descriptive mean after within-subset peak normalization
0,3,4,-9.624216840702819e-08,2.3025160553463506e-07,-4.294111821976731e-07,8.272096534557733e-08,descriptive mean after within-subset peak normalization
