deletion_position,deletion_identity,deletion_support_sha256,layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,4,11,2560,1,7362,6596,209,557,800,1000,0.9162919223308563,0.6739200254281362,0.3176035457640137,3.4672012329101562
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,4,23,2560,1,7362,6596,209,557,975,1000,0.9485341012477875,0.882427453994751,0.2374462596430073,4.31990909576416
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,4,37,2560,1,7362,6596,209,557,1000,1000,1.041447401046753,0.5184585650761923,0.7064778884910137,4.249075412750244
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,5,11,2560,1,7362,6596,209,557,975,1000,0.6962964534759521,0.6493347187836965,0.33987157982580957,2.343975067138672
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,5,23,2560,1,7362,6596,209,557,850,1000,0.6120133548974991,0.6235015789667765,0.341335681711328,2.102236270904541
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,5,37,2560,1,7362,6596,209,557,850,1000,0.5844228267669678,0.540571004152298,0.311509596574141,2.110475540161133
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,6,11,2560,1,7362,6596,209,557,1000,1000,0.9532581567764282,0.8980896671613058,0.44272440459725937,4.342199325561523
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,6,23,2560,1,7362,6596,209,557,550,800,0.836937665939331,0.799687293668588,0.38772763196581383,2.8594698905944824
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,6,37,2560,1,7362,6596,209,557,975,1000,0.883508175611496,0.9755082130432129,0.44269576439700287,4.568636894226074
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,7,11,2560,1,7362,6596,209,557,900,1000,0.9271608591079712,0.5974019716183344,0.42896085947772994,4.088928699493408
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,7,23,2560,1,7362,6596,209,557,900,1000,0.907497763633728,0.7033286939064661,0.3570390947281963,4.526543140411377
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,7,37,2560,1,7362,6596,209,557,950,1000,0.9122333824634552,0.7418270905812582,0.34745930092169197,4.865174293518066
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,8,11,2560,1,7362,6596,209,557,975,1000,0.9595997333526611,1.016331394513448,0.1686355600457581,4.145229339599609
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,8,23,2560,1,7362,6596,209,557,1000,1000,0.9643698632717133,0.939445286989212,0.18792411612375656,4.2026472091674805
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,1,8,37,2560,1,7362,6596,209,557,975,1000,1.0575629472732544,1.064291000366211,0.216585073746971,4.418876647949219
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,9,11,2560,1,7362,6596,209,557,1000,1000,0.7692982405424118,0.6769963105519613,0.25762046162899205,3.0158798694610596
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,9,23,2560,1,7362,6596,209,557,1000,1000,0.7634192705154419,0.6964571873346964,0.30223866737449184,3.137957811355591
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,9,37,2560,1,7362,6596,209,557,975,1000,0.7711625099182129,0.7661214669545492,0.2467854094736768,3.194591760635376
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,10,11,2560,1,7362,6596,209,557,950,1000,0.9195628091692924,0.8035093148549398,0.27255629066618275,3.559922933578491
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,10,23,2560,1,7362,6596,209,557,800,1000,0.9538604170084,0.7949440975983938,0.3371971689196057,3.5672874450683594
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,10,37,2560,1,7362,6596,209,557,800,1000,1.0185726881027222,0.8024897078673044,0.3268287033377344,3.344630479812622
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,11,11,2560,1,7362,6596,209,557,1000,1000,1.0103143453598022,0.023262083530426025,1.3290336475715643,4.602859020233154
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,11,23,2560,1,7362,6596,209,557,1000,1000,1.1647865921258926,0.2516031563282013,0.8729318450053323,4.535776615142822
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,11,37,2560,1,7362,6596,209,557,950,1000,1.0322874933481216,0.41395507256189984,0.6667892961153695,4.4068474769592285
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,12,11,2560,1,7362,6596,209,557,725,975,0.6395825147628784,0.6849735379219055,0.18098799261454349,2.5325984954833984
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,12,23,2560,1,7362,6596,209,557,950,1000,0.6514704823493958,0.736126701037089,0.12085159020934165,2.9832992553710938
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,2,12,37,2560,1,7362,6596,209,557,900,1000,0.7072359919548035,0.8462110062440237,0.13456822707808322,2.8079590797424316
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,13,11,2560,1,7362,6596,209,557,925,1000,0.7949192523956299,0.7626074552536011,0.2429142481369772,2.987370491027832
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,13,23,2560,1,7362,6596,209,557,950,1000,0.815075159072876,0.6988714238007864,0.2783183859458138,3.161210775375366
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,13,37,2560,1,7362,6596,209,557,950,1000,0.8235545232892036,0.6286376466353735,0.32551265169511506,3.235017776489258
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,14,11,2560,1,7362,6596,209,557,975,1000,1.0714166015386581,1.027809202671051,0.3945526266211715,5.166795253753662
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,14,23,2560,1,7362,6596,209,557,900,1000,1.0095060020685196,0.8366550207138062,0.385286316004967,4.479882717132568
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,3,14,37,2560,1,7362,6596,209,557,975,1000,0.9895056337118149,0.8864764422178268,0.341839719398401,4.635139465332031
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,4,15,11,2560,1,7362,6596,209,557,775,1000,0.7052066326141357,0.4978013386329015,0.34433984848115295,3.5980629920959473
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,4,15,23,2560,1,7362,6596,209,557,875,1000,0.770063042640686,0.42660139004389447,0.44411892044236,3.892061710357666
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,1,4,15,37,2560,1,7362,6596,209,557,700,950,0.7661691978573799,0.6222629547119141,0.2220548988243958,3.4604358673095703
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,1,11,2560,1,7362,6596,209,557,975,1000,0.6865236163139343,0.7650993267695109,0.3848133918178202,2.886780261993408
41,L,e0fef893d26baae17a3e262951afad508996ae16f2f43fe107136aa1982b97d3,2,1,1,23,2560,1,7362,6596,209,557,675,925,0.6697112321853638,0.7115099430084229,0.4189774492962303,2.2000155448913574
