layer,order_k,subset_mask,score_mean,critic_seed_sd,n_critic_seeds
17,2,12,0.9738242162598504,0.08748283297132595,3
17,3,13,0.6558066457509995,0.054768625077559016,3
17,3,14,0.985386312007904,0.020128464172811278,3
17,4,15,0.5773110654619006,0.15245681773987027,3
18,1,1,0.8332358598709106,0.040255458841313665,3
18,1,2,1.2316118081410725,0.05900924370675791,3
18,2,3,0.6475738849904803,0.1541191808757957,3
18,1,4,0.7949777874681684,0.5121082710673861,3
18,2,5,0.7256823148992327,0.062448044108236574,3
18,2,6,1.0320852084292307,0.010095328356341868,3
18,3,7,0.5915667249096765,0.03543341330299757,3
18,1,8,1.0911814504199555,0.03497113413780296,3
18,2,9,0.8204654968447156,0.03508752811049013,3
18,2,10,1.0013662758800719,0.09556048688047752,3
18,3,11,0.1387344975438383,0.6645375166783126,3
18,2,12,0.9584746923711566,0.09506557703353764,3
18,3,13,0.7347929841942258,0.02664826074949598,3
18,3,14,0.9776223020421134,0.0890759026374854,3
18,4,15,0.6248729065474535,0.06769601471721773,3
19,1,1,0.7426531977123685,0.08609648497479273,3
19,1,2,1.2115841143661077,0.04864240194911751,3
19,2,3,0.7015367464886771,0.0669561854053243,3
19,1,4,0.7856054471598731,0.46510009989200196,3
19,2,5,0.7462848689821032,0.01390594209992413,3
19,2,6,0.9769124769502217,0.03126190886394015,3
19,3,7,0.556529023581081,0.06910294136937135,3
19,1,8,1.0603550010257297,0.00940750384628721,3
19,2,9,0.7758501420418421,0.06377859117150085,3
19,2,10,1.0730809933609435,0.06787614900673004,3
19,3,11,0.2584483126799266,0.07031062460190042,3
19,2,12,1.0030237701204088,0.07024500949408741,3
19,3,13,0.7145874632729424,0.04341263843818895,3
19,3,14,0.973253200451533,0.050074670093889107,3
19,4,15,0.5311216745111677,0.1925553997134614,3
20,1,1,0.7690142293771108,0.013108767203525369,3
20,1,2,1.2423141565587785,0.03559026470465498,3
20,2,3,0.775460961792204,0.049583666376845435,3
20,1,4,0.8848700722058614,0.3737552917440966,3
20,2,5,0.7008017119434143,0.0436161032510608,3
20,2,6,0.9956636776526769,0.03918865008057201,3
20,3,7,0.39645874748627347,0.45980733515786504,3
20,1,8,1.1241075893243153,0.05952567929213027,3
20,2,9,0.8407478084166845,0.07394400148278851,3
20,2,10,1.0361208534902997,0.10786192488903305,3
20,3,11,0.44662666486369246,0.2624232005635301,3
20,2,12,0.973600986931059,0.09423224036764727,3
20,3,13,0.7339069810178546,0.04532558306270038,3
20,3,14,1.0003309829367533,0.057507068551487885,3
20,4,15,0.5317387481530508,0.11418142460533766,3
21,1,1,0.7474539544847277,0.05113269866812973,3
21,1,2,1.2356016834576924,0.05988203108062211,3
21,2,3,0.7257364342610041,0.029009392826675324,3
21,1,4,0.8068382243315378,0.42694010299103596,3
21,2,5,0.6904081106185913,0.0402461561066635,3
21,2,6,0.9995506008466085,0.01703519507516766,3
21,3,7,0.5193047689066993,0.30271504626288354,3
21,1,8,1.0980105797449748,0.05052227068208626,3
21,2,9,0.8494792365365558,0.018662534945982353,3
21,2,10,0.863402063647906,0.1130905799080164,3
21,3,11,0.5248359408643511,0.006942429117027903,3
21,2,12,1.0023925801118214,0.05888728288594606,3
21,3,13,0.6963970197571648,0.018773964533531216,3
21,3,14,1.0148720857169893,0.03821531529487254,3
21,4,15,0.5349317921532525,0.2167098622818072,3
22,1,1,0.7950728171401554,0.1108337094986879,3
22,1,2,1.2051080067952473,0.10515523419357789,3
22,2,3,0.7060243934392929,0.06870439883672036,3
22,1,4,0.9961645834975772,0.12324122454153416,3
22,2,5,0.6812718941105738,0.028840691657807727,3
22,2,6,1.0229551924599543,0.03429499168909584,3
22,3,7,0.5563238660494486,0.15606825898488658,3
22,1,8,1.0845776266521876,0.11515429204146344,3
22,2,9,0.8011519213517507,0.03797728640694047,3
22,2,10,1.0483010096682444,0.044225426803444684,3
22,3,11,0.48155319359567433,0.15715982860148867,3
22,2,12,0.9343267314963871,0.09345835116288537,3
22,3,13,0.7376243323087692,0.0840595197587889,3
22,3,14,1.0172254178259108,0.032219641944013507,3
22,4,15,0.4884904358122084,0.11357624902565201,3
23,1,1,0.8368395434485542,0.0310738020331871,3
23,1,2,1.2227299643887413,0.036828130391796166,3
23,2,3,0.5811301304234399,0.3279771801476789,3
