layer,order_k,n_subset_masks,descriptive_score_mean_across_subsets,descriptive_score_sd_across_subsets,max_subset_critic_seed_sd
20,4,1,0.6516363629036479,0.0,0.06730369294063872
21,1,4,0.9662677902314398,0.1602006931869104,0.05801939452595405
21,2,6,0.8269373517207526,0.128416893372522,0.07994420906083084
21,3,4,0.678258531830377,0.1705323869619071,0.161598232606888
21,4,1,0.6005907720989652,0.0,0.061870307122765665
22,1,4,0.9445391123493514,0.1046520174849986,0.07961421445656391
22,2,6,0.820043524382291,0.1263312621042529,0.06778232931925399
22,3,4,0.6727822199463844,0.1566621369863472,0.1794099299272833
22,4,1,0.6508782671557533,0.0,0.04927442247671231
23,1,4,1.0053869262337685,0.14523066964074302,0.09957417015057232
23,2,6,0.818779310832421,0.14464443301761712,0.17957155830577892
23,3,4,0.6516748884071907,0.19477131538614334,0.28011234530557116
23,4,1,0.6714360134469138,0.0,0.0375458117371774
24,1,4,0.953293778002262,0.13761211105614518,0.11194076997039522
24,2,6,0.790689600010713,0.17322183302626734,0.4118178267745447
24,3,4,0.6780066320465671,0.13787840640650909,0.15220710376883295
24,4,1,0.6417963206768036,0.0,0.04988612648544178
25,1,4,0.9912568546003764,0.158701712241318,0.06324043884957316
25,2,6,0.8166704290994892,0.1060187593495162,0.09210936151171757
25,3,4,0.676734834495518,0.12690261206536987,0.16834542274818268
25,4,1,0.6588208675384521,0.0,0.03658909333175027
26,1,4,0.965912438929081,0.11956740679289683,0.13820568675270525
26,2,6,0.8202031917042203,0.1350405325668514,0.10312157875692535
26,3,4,0.6952196949472029,0.12395033471120605,0.07190977375224451
26,4,1,0.6800472488005956,0.0,0.05741222753163207
27,1,4,1.0181884587638907,0.14538734901744826,0.07614751998377305
27,2,6,0.8453646500905355,0.11568079819107725,0.11036431563312345
27,3,4,0.7254891556998093,0.09771876255864784,0.1254202117399885
27,4,1,0.6718796739975611,0.0,0.03658515436654288
28,1,4,1.0020732374654875,0.09804089467965056,0.11955406964487922
28,2,6,0.7801418722503716,0.21404744759056735,0.35413277843102187
28,3,4,0.6739008041719595,0.15037947826709386,0.3674093051683747
28,4,1,0.6561861630115243,0.0,0.027799795222625885
29,1,4,1.0134399177299607,0.11105536701820423,0.08316843918111627
29,2,6,0.8578522710336579,0.15313823118133213,0.05995415393760169
29,3,4,0.7160697283430232,0.11659011954434768,0.14008998784971072
29,4,1,0.6782443275054296,0.0,0.09918618013659214
30,1,4,1.027631427678797,0.11706242047439712,0.20330854331055195
30,2,6,0.8928268755337706,0.1254021152723926,0.1127328103282735
30,3,4,0.734294099940194,0.16633380238926188,0.18157214360138557
30,4,1,0.6046803941329321,0.0,0.025097205389902583
