layer,order_k,subset_mask,score_mean,critic_seed_sd,score_min,score_max,mean_best_val,mean_best_step,mean_final_training_step,mean_product_shuffle_sd,mean_joint_minus_mismatch_score
0,3,13,-3.489355246225993e-07,2.743173188539857e-07,-5.774199962615967e-07,-4.470348358154297e-08,5.8362881342569985e-08,25.0,275.0,0.0,0.0
0,3,14,8.195638656616211e-08,2.0033612340314316e-07,-4.470348358154297e-08,3.129243850708008e-07,1.1983017126719156e-07,25.0,275.0,0.0,-5.587935447692871e-09
0,4,15,-4.548993375566271e-07,2.92208686462867e-07,-7.872780164082845e-07,-2.384185791015625e-07,-3.19133202234904e-07,25.0,275.0,7.492773068603383e-08,-2.483526865641276e-09
1,1,1,0.7538697454664441,0.06814145786847128,0.7005041837692261,0.8306259314219157,0.7237580592433611,833.3333333333334,975.0,0.38958315489914713,2.4934120178222656
1,1,2,1.0587550269232855,0.09150498339482785,0.9531847635904948,1.1153285106023152,1.1619030982255936,850.0,975.0,0.40851145962664176,5.563595136006673
1,1,4,0.6867390225330988,0.18861102652391265,0.5360889832178751,0.8982717643181483,0.9311657771468163,925.0,1000.0,0.3760204614575831,3.840041001637777
1,1,8,0.9626593887805939,0.12957471359652162,0.8251802623271942,1.0825284322102864,0.9566714614629745,991.6666666666666,1000.0,0.19442292408498996,4.14962911605835
1,2,3,0.6750505740443865,0.06189266276449415,0.6270708069205284,0.7449115614096323,0.764041505753994,941.6666666666666,1000.0,0.3454335267186967,3.27864662806193
1,2,5,-0.16921404169665447,0.9184818904556209,-1.2256334573030472,0.44018985827763873,0.5514805528024832,908.3333333333334,1000.0,1.1935111072912634,1.8624635934829712
1,2,6,0.7545297046502432,0.05143272386537032,0.702268918355306,0.8050923049449921,0.973264013727506,858.3333333333334,1000.0,0.3769744457533171,4.377437432607015
1,2,9,0.6729222337404887,0.007409634932242348,0.6657286087671915,0.6805304686228434,0.7063052803277969,950.0,1000.0,0.22293900287801108,2.5741265614827475
1,2,10,0.7901744196812311,0.031219413635572044,0.7577798018852869,0.8200682004292806,0.9550298030177752,925.0,1000.0,0.28689023891431326,3.816803057988485
1,2,12,0.7219021320343018,0.08558907432314572,0.6292736728986105,0.7980570395787557,0.5744646191596985,833.3333333333334,975.0,0.13539911519845524,2.724320650100708
1,3,7,0.5934393910898103,0.10654466163988616,0.47150810311237973,0.6685943156480789,0.8275198141733805,758.3333333333334,925.0,0.4265277257990377,3.9553284645080566
1,3,11,0.6005866229534149,0.04865752380934711,0.5557453980048498,0.6523245175679525,0.9250028605262438,925.0,1000.0,0.34982013653913474,3.999316374460856
1,3,13,0.6248299347029791,0.15274826048822016,0.45539236068725586,0.7519776324431101,0.7767300084233284,891.6666666666666,1000.0,0.3333556239217719,2.7665436267852783
1,3,14,0.8294113584690624,0.11305319836883072,0.6998404239614805,0.9079647362232208,0.9099532316128413,975.0,1000.0,0.31823523983786717,4.846587498982747
1,4,15,0.6181564389003648,0.10586609995549638,0.49616194019714993,0.6859092662731806,0.6832932258645693,833.3333333333334,975.0,0.2937866111470806,3.5992812315622964
2,1,1,0.7052874399556054,0.040058995494336155,0.674929807583491,0.7506909767786661,0.707407553990682,958.3333333333334,1000.0,0.3619584937275541,2.3403321901957193
2,1,2,1.0269496507114833,0.054813721069229535,0.9877073764801025,1.0895774960517883,1.2529716889063518,900.0,1000.0,0.3829025484199386,5.69445006052653
2,1,4,1.003257950146993,0.03043507741177153,0.9709386825561523,1.0313713550567627,0.984396773080031,891.6666666666666,1000.0,0.18902813388593706,4.17823052406311
2,1,8,0.884247365925047,0.07880382342476853,0.8204898337523142,0.9723513523737589,0.8764876921971639,916.6666666666666,1000.0,0.16107351976774728,3.513734499613444
2,2,3,0.38930009057124454,0.2973816014490866,0.05714742342631022,0.6308202520012856,0.6316730156540871,833.3333333333334,933.3333333333334,0.6745258548728342,2.750051736831665
2,2,5,0.3908776160743502,0.29569108365381624,0.05012095967928568,0.5798810025056204,0.6179300559063753,925.0,1000.0,0.5524563109893368,1.9904214143753052
2,2,6,0.8660195122162501,0.04602275951502871,0.8354658683141073,0.9189520180225372,1.0667764320969582,975.0,1000.0,0.39273336294156014,4.749397436777751
2,2,9,0.70799297425482,0.04975384861623894,0.6734168032805125,0.7650153239568075,0.6743021905422211,966.6666666666666,1000.0,0.25595021361534714,2.8092430432637534
2,2,10,0.7591541128026114,0.10569158495617487,0.6841807663440704,0.8800371835629145,0.9922451252738634,883.3333333333334,1000.0,0.31435382312052074,3.740988334019979
2,2,12,0.8554511467615763,0.012912406700183688,0.8409399588902792,0.8656731049219767,0.7469826738039652,908.3333333333334,1000.0,0.15602297198107662,3.694276968638102
2,3,7,0.5309917396969266,0.2715467881186835,0.2227626939614614,0.7349439958731333,0.7900071342786154,925.0,1000.0,0.545121353786994,3.7343668142954507
2,3,11,0.569987565279007,0.03754409497290114,0.5269842942555746,0.5962429443995158,0.7969169219334921,900.0,1000.0,0.47604976074898303,3.313466231028239
2,3,13,0.6514924143751463,0.11621626435421648,0.5182570690910021,0.7319837013880411,0.7344048023223877,900.0,1000.0,0.2710746697115256,2.566365639368693
2,3,14,0.8429235733217664,0.043578771031902504,0.796156128247579,0.8823918799559275,0.9120685557524363,958.3333333333334,1000.0,0.31296550760207775,4.76279878616333
2,4,15,0.5526042125291295,0.13608295896223088,0.39560048033793765,0.6366687019666036,0.6886445668836435,775.0,883.3333333333334,0.28291932003244663,3.5280713637669883
3,1,1,0.7881026797824436,0.054426393615230995,0.7560837268829346,0.8509450753529867,0.7125332107146581,900.0,1000.0,0.4002942334809334,2.698319355646769
3,1,2,1.0660974449581568,0.10162921047276348,0.9493428468704224,1.134710431098938,1.21100552380085,875.0,975.0,0.4136097282089759,5.70391050974528
3,1,4,0.9761931498845419,0.08868398552389278,0.9214569330215454,1.0785133043924968,1.0899278372526169,975.0,1000.0,0.23102465157657737,4.701638380686442
3,1,8,0.9690070549647013,0.049162919472896444,0.9289348522822062,1.0238663752873738,0.9490523735682169,933.3333333333334,1000.0,0.2125090085896456,4.01122522354126
3,2,3,0.47247980866167283,0.41345621368115754,-0.004004607597986857,0.7365675469239553,0.7695107807715734,941.6666666666666,1000.0,0.6951003345646534,3.6367201010386148
3,2,5,0.5744156249695354,0.05856461100987525,0.507858802874883,0.6180601219336191,0.6167164829870065,866.6666666666666,1000.0,0.30776787067507066,2.231853405634562
3,2,6,0.879782670074039,0.0650100102363079,0.8093853294849396,0.9375526110331217,1.0494110137224197,908.3333333333334,1000.0,0.4096747764066462,5.036680380503337
3,2,9,0.7770111511150996,0.02734584036907885,0.7510768075784048,0.8055780778328577,0.7477454940478007,875.0,1000.0,0.2424479645955103,2.9682932694753013
3,2,10,0.9074857698546515,0.11211526031091187,0.7780713687340418,0.9751537442207336,1.0626745993892353,958.3333333333334,1000.0,0.30214437208275235,4.646749019622803
3,2,12,0.9082912305990855,0.020243952210636906,0.8858923514684042,0.9252816339333853,0.7869096199671427,841.6666666666666,1000.0,0.1911486669219821,4.033432960510254
3,3,7,0.6599481147196559,0.01758231612448924,0.6396630307038625,0.6708147873481115,0.7523005108038584,875.0,1000.0,0.34364064168653236,3.34053635597229
3,3,11,0.597625405424171,0.14386450513769633,0.44137153774499893,0.7245943546295166,0.7274160385131836,775.0,983.3333333333334,0.335101983245871,3.1699116230010986
3,3,13,0.7162957406706281,0.033794302951753716,0.6810019661982855,0.7483584880828857,0.8097933505972227,975.0,1000.0,0.28496431725593285,2.7911561330159507
3,3,14,0.8902573684851328,0.035264736751917915,0.849537213643392,0.9106757591168085,0.9004648625850677,916.6666666666666,1000.0,0.3339605267874452,4.725659688313802
3,4,15,0.6602447686923875,0.05443085819396381,0.6286516189575195,0.7230958119034767,0.7952256922920545,933.3333333333334,1000.0,0.2836040911798942,4.2159379323323565
4,1,1,0.7538524071375529,0.005600381387221765,0.7483352422714233,0.7595324516296387,0.6765348662932714,933.3333333333334,1000.0,0.3865326791481721,2.687788486480713
4,1,2,1.0004797048038907,0.05742960796990843,0.9420862197875977,1.0568942824999492,1.163379540046056,916.6666666666666,1000.0,0.3893332395131632,5.688469409942627
4,1,4,1.0339240233103435,0.007672525615255699,1.0257933934529622,1.04103684425354,1.0653194586435955,941.6666666666666,1000.0,0.23501279519192475,4.295650641123454
4,1,8,0.942808190981547,0.09584062179345998,0.8345966736475626,1.0169919331868489,0.9797759801149368,791.6666666666666,950.0,0.2070893837105168,3.600630760192871
4,2,3,0.7080876413318845,0.01976601471762818,0.6959811349709829,0.7308970789114634,0.7439732650915781,925.0,1000.0,0.3748803514226515,3.3892383575439453
4,2,5,0.5578690022230148,0.009821435821399802,0.5498215903838476,0.5688129663467407,0.6282082883020242,925.0,1000.0,0.3482792126903635,2.081671873728434
4,2,6,0.8410178398092588,0.05060608437070296,0.7871686195333799,0.8875937064488729,1.026374666641156,933.3333333333334,1000.0,0.4093543326146145,4.667031447092692
4,2,9,0.7802634769015842,0.010907120723763765,0.7697163025538126,0.7914980302254359,0.7617596363027891,916.6666666666666,1000.0,0.2623162111002649,3.1122868061065674
4,2,10,0.8928272260559931,0.08335905206866553,0.8002039094765981,0.9618197679519653,1.0770932485659916,958.3333333333334,1000.0,0.2981049290787805,4.721700827280681
4,2,12,0.8589564859867096,0.19219891377211828,0.6506417195002238,1.0294021864732106,0.798456055422624,916.6666666666666,1000.0,0.2529412236253484,4.418947219848633
