layer,order_k,subset_mask,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
1,2,5,23,2560,1,8210,7352,245,613,800,1000,0.5102539621293545,0.44018985827763873,0.25778133619405064,1.5654746294021606
1,2,5,37,2560,1,8210,7352,245,613,975,1000,0.5215005874633789,0.27780147393544513,0.43014287085610325,1.9544610977172852
1,2,6,11,2560,1,8210,7352,245,613,850,1000,0.9451583549380302,0.7562278906504313,0.3809099861000647,4.198276519775391
1,2,6,23,2560,1,8210,7352,245,613,850,1000,1.025625355541706,0.8050923049449921,0.3583864718427837,4.290731906890869
1,2,6,37,2560,1,8210,7352,245,613,875,1000,0.9490083307027817,0.702268918355306,0.3916268793171029,4.643303871154785
1,2,9,11,2560,1,8210,7352,245,613,975,1000,0.7124751806259155,0.672507623831431,0.23672187483800802,2.5443246364593506
1,2,9,23,2560,1,8210,7352,245,613,1000,1000,0.7395838499069214,0.6805304686228434,0.22718444147310554,2.673177480697632
1,2,9,37,2560,1,8210,7352,245,613,875,1000,0.6668568104505539,0.6657286087671915,0.20491069232291967,2.5048775672912598
1,2,10,11,2560,1,8210,7352,245,613,900,1000,0.9657695218920708,0.7577798018852869,0.2981152981547713,3.8751931190490723
1,2,10,23,2560,1,8210,7352,245,613,925,1000,0.9555076286196709,0.792675256729126,0.28866408799400584,3.73781156539917
1,2,10,37,2560,1,8210,7352,245,613,950,1000,0.943812258541584,0.8200682004292806,0.2738913305941627,3.837404489517212
1,2,12,11,2560,1,8210,7352,245,613,975,1000,0.6145610213279724,0.7383756836255392,0.13725134879884573,2.949460744857788
1,2,12,23,2560,1,8210,7352,245,613,850,1000,0.6245187520980835,0.7980570395787557,0.13020497905943212,2.942342519760132
1,2,12,37,2560,1,8210,7352,245,613,675,925,0.48431408405303955,0.6292736728986105,0.13874101773708786,2.281158685684204
1,3,7,11,2560,1,8210,7352,245,613,800,1000,0.8480950519442558,0.6685943156480789,0.3711389971091091,3.9905967712402344
1,3,7,23,2560,1,8210,7352,245,613,525,775,0.7727465704083443,0.47150810311237973,0.38804307060093546,2.771091938018799
1,3,7,37,2560,1,8210,7352,245,613,950,1000,0.8617178201675415,0.6402157545089722,0.5204011096870685,5.104296684265137
1,3,11,11,2560,1,8210,7352,245,613,875,1000,0.8976582363247871,0.5557453980048498,0.3717050520854707,3.740311861038208
1,3,11,23,2560,1,8210,7352,245,613,925,1000,0.8686249256134033,0.5936899532874426,0.34579731553740284,3.9608500003814697
1,3,11,37,2560,1,8210,7352,245,613,975,1000,1.008725419640541,0.6523245175679525,0.33195804199453066,4.296787261962891
1,3,13,11,2560,1,8210,7352,245,613,925,1000,0.7845080643892288,0.45539236068725586,0.4171548885817912,2.651695966720581
1,3,13,23,2560,1,8210,7352,245,613,850,1000,0.7255991771817207,0.6671198109785715,0.30243329755539794,2.8065083026885986
1,3,13,37,2560,1,8210,7352,245,613,900,1000,0.8200827836990356,0.7519776324431101,0.28047868562812683,2.8414266109466553
1,3,14,11,2560,1,8210,7352,245,613,975,1000,0.8998383358120918,0.8804289152224859,0.34477523076054695,4.919573783874512
1,3,14,23,2560,1,8210,7352,245,613,975,1000,0.893908254802227,0.6998404239614805,0.3134775503107901,4.757979393005371
1,3,14,37,2560,1,8210,7352,245,613,975,1000,0.936113104224205,0.9079647362232208,0.29645293844226445,4.862209320068359
1,4,15,11,2560,1,8210,7352,245,613,850,1000,0.7124322727322578,0.6723981102307638,0.2809131900008054,3.578225612640381
1,4,15,23,2560,1,8210,7352,245,613,675,925,0.5964624881744385,0.49616194019714993,0.26311722022132933,3.14919114112854
1,4,15,37,2560,1,8210,7352,245,613,975,1000,0.7409849166870117,0.6859092662731806,0.3373294232191071,4.070426940917969
2,1,1,11,2560,1,8210,7352,245,613,975,1000,0.702247142791748,0.674929807583491,0.32636748898420254,2.425515651702881
2,1,1,23,2560,1,8210,7352,245,613,950,1000,0.730570912361145,0.7506909767786661,0.3867890131684126,2.332200050354004
2,1,1,37,2560,1,8210,7352,245,613,950,1000,0.6894046068191528,0.690241535504659,0.37271897903004725,2.2632808685302734
2,1,2,11,2560,1,8210,7352,245,613,950,1000,1.223220944404602,0.9877073764801025,0.3569233822926358,5.646402359008789
2,1,2,23,2560,1,8210,7352,245,613,950,1000,1.2524876594543457,1.0895774960517883,0.39713716313674535,6.055550575256348
2,1,2,37,2560,1,8210,7352,245,613,800,1000,1.2832064628601074,1.0035640796025593,0.39464709983043444,5.381397247314453
2,1,4,11,2560,1,8210,7352,245,613,775,1000,1.0076917260885239,0.9709386825561523,0.16477701939942438,3.826542615890503
2,1,4,23,2560,1,8210,7352,245,613,950,1000,0.9635144546627998,1.0313713550567627,0.20914466175902974,4.3802900314331055
2,1,4,37,2560,1,8210,7352,245,613,950,1000,0.9819841384887695,1.007463812828064,0.19316272049935704,4.327858924865723
2,1,8,11,2560,1,8210,7352,245,613,850,1000,0.8635389804840088,0.8204898337523142,0.156500270885034,3.1681408882141113
2,1,8,23,2560,1,8210,7352,245,613,950,1000,0.9149770736694336,0.9723513523737589,0.16164350277816159,3.852911949157715
2,1,8,37,2560,1,8210,7352,245,613,950,1000,0.8509470224380493,0.8599009116490682,0.16507678564004627,3.520150661468506
