replicate_id,gain,true_mi_nats,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
211,0.5,0.11157177565710488,23,2560,1,8210,7352,245,613,50,300,-1.461803913116455e-05,-1.7041961352030437e-05,4.0744395097908486e-05,9.521842002868652e-05
211,0.5,0.11157177565710488,37,2560,1,8210,7352,245,613,50,300,2.8312206268310547e-06,0.0003428931037584941,0.00012600646838519628,0.0003589540719985962
211,1.0,0.34657359027997264,11,2560,1,8210,7352,245,613,225,475,0.13096671923995018,0.07817285011212032,0.015565579267761493,0.26399317383766174
211,1.0,0.34657359027997264,23,2560,1,8210,7352,245,613,275,525,0.12681502103805542,0.044180989265441895,0.018038289779438107,0.4055829644203186
211,1.0,0.34657359027997264,37,2560,1,8210,7352,245,613,325,575,0.12922249734401703,0.034545160830020905,0.02097000634962994,0.44788601994514465
211,1.5,0.5893274981708231,11,2560,1,8210,7352,245,613,450,700,0.3785310983657837,0.19606255491574606,0.035990135150193885,1.181466817855835
211,1.5,0.5893274981708231,23,2560,1,8210,7352,245,613,325,575,0.3241332173347473,0.2438692549864451,0.027781350003165856,0.8954832553863525
211,1.5,0.5893274981708231,37,2560,1,8210,7352,245,613,275,525,0.2926720976829529,0.25399279594421387,0.02432557252953125,0.7352457046508789
307,0.0,0.0,11,2560,1,8210,7352,245,613,50,300,-6.295181810855865e-05,-0.0001481125752131144,9.28031026792248e-05,5.8436766266822815e-05
307,0.0,0.0,23,2560,1,8210,7352,245,613,75,325,0.00017221271991729736,-0.0001218716303507487,9.3252418672272e-05,9.3899667263031e-05
307,0.0,0.0,37,2560,1,8210,7352,245,613,50,300,-0.00018533319234848022,-0.00010005136330922444,0.0001150852899612742,7.905811071395874e-05
307,0.15,0.011125304467409862,11,2560,1,8210,7352,245,613,75,325,0.0011992529034614563,-0.0002185691458483537,0.00028551434220283357,0.000909789465367794
307,0.15,0.011125304467409862,23,2560,1,8210,7352,245,613,50,300,-4.8123300075531006e-05,-6.784747044245402e-05,3.350174606600715e-05,-1.1995434761047363e-06
307,0.15,0.011125304467409862,37,2560,1,8210,7352,245,613,75,325,0.0005066990852355957,9.77863868077596e-05,0.00048690011790832326,0.0008166283369064331
307,0.5,0.11157177565710488,11,2560,1,8210,7352,245,613,100,350,0.007848657667636871,0.001557095597187678,0.004537151654048808,0.01752924546599388
307,0.5,0.11157177565710488,23,2560,1,8210,7352,245,613,75,325,0.0020972639322280884,0.0032320419947306314,0.0008818430163163893,0.005273640155792236
307,0.5,0.11157177565710488,37,2560,1,8210,7352,245,613,75,325,0.0013570040464401245,0.0037446742256482444,0.000982392432739532,0.005776897072792053
307,1.0,0.34657359027997264,11,2560,1,8210,7352,245,613,150,400,0.0732057522982359,0.09298568964004517,0.010661615601622565,0.22457925975322723
307,1.0,0.34657359027997264,23,2560,1,8210,7352,245,613,175,425,0.0792190432548523,0.08955647051334381,0.015325554333095013,0.23737989366054535
307,1.0,0.34657359027997264,37,2560,1,8210,7352,245,613,150,400,0.06226734817028046,0.09001263976097107,0.01852202392397932,0.19980855286121368
307,1.5,0.5893274981708231,11,2560,1,8210,7352,245,613,325,575,0.23962009698152542,0.18396748105684915,0.031855249004180075,0.8222900629043579
307,1.5,0.5893274981708231,23,2560,1,8210,7352,245,613,300,550,0.22499190643429756,0.2579486866792043,0.027549196910790993,0.9293962121009827
307,1.5,0.5893274981708231,37,2560,1,8210,7352,245,613,325,575,0.25158869102597237,0.19743135323127112,0.03868245655177605,0.9147995114326477
