family,representation_dim,target_dim,node_index,node,scenario,expected,order_k,gain,noise_sigma,true_mi_nats,target_seed,direction_seed,noise_seed,critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
dim2560_adversarial_relative_retention_suite,2560,1,10,flat_strong_final_k3,flat_strong,flat,3,1.0,1.0,0.34657359027997264,20260941,20260942,20260960,37,225,475,0.0894031897187233,0.06102503091096878,0.010029850796670913,0.3503258228302002
dim2560_adversarial_relative_retention_suite,2560,1,11,flat_strong_final_k4,flat_strong,flat,4,1.0,1.0,0.34657359027997264,20260941,20260942,20260961,11,225,475,0.12341068685054779,0.051245937744776406,0.01587827336743588,0.3178471028804779
dim2560_adversarial_relative_retention_suite,2560,1,11,flat_strong_final_k4,flat_strong,flat,4,1.0,1.0,0.34657359027997264,20260941,20260942,20260961,23,225,475,0.09962433576583862,0.08852345744768779,0.016132115041416154,0.35315778851509094
dim2560_adversarial_relative_retention_suite,2560,1,11,flat_strong_final_k4,flat_strong,flat,4,1.0,1.0,0.34657359027997264,20260941,20260942,20260961,37,250,500,0.1243143379688263,0.0689812395721674,0.019267389609387085,0.372650146484375
dim2560_adversarial_relative_retention_suite,2560,1,12,ho_advantage_final_k1,ho_advantage,positive,1,0.15,1.0,0.011125304467409862,20260941,20260942,20260962,11,50,300,-0.00021206308156251907,-0.0003711891671021779,8.860692833697084e-05,-0.00015787314623594284
dim2560_adversarial_relative_retention_suite,2560,1,12,ho_advantage_final_k1,ho_advantage,positive,1,0.15,1.0,0.011125304467409862,20260941,20260942,20260962,23,50,300,-0.0001144707202911377,-5.010763804117838e-05,2.8991041294518526e-05,-2.822279930114746e-05
dim2560_adversarial_relative_retention_suite,2560,1,12,ho_advantage_final_k1,ho_advantage,positive,1,0.15,1.0,0.011125304467409862,20260941,20260942,20260962,37,50,300,-0.0001751929521560669,-9.122490882873535e-05,4.46965424129136e-05,0.0001263543963432312
dim2560_adversarial_relative_retention_suite,2560,1,13,ho_advantage_final_k2,ho_advantage,positive,2,0.5,1.0,0.11157177565710488,20260941,20260942,20260963,11,75,325,0.0013965889811515808,0.002365401014685631,0.0006135481830209572,0.00389212928712368
dim2560_adversarial_relative_retention_suite,2560,1,13,ho_advantage_final_k2,ho_advantage,positive,2,0.5,1.0,0.11157177565710488,20260941,20260942,20260963,23,100,350,0.005248218774795532,0.008116443951924643,0.0028066697601088686,0.014611318707466125
dim2560_adversarial_relative_retention_suite,2560,1,13,ho_advantage_final_k2,ho_advantage,positive,2,0.5,1.0,0.11157177565710488,20260941,20260942,20260963,37,75,325,0.0032153427600860596,0.003690515955289205,0.001232571101655075,0.00718843936920166
dim2560_adversarial_relative_retention_suite,2560,1,14,ho_advantage_final_k3,ho_advantage,positive,3,1.0,1.0,0.34657359027997264,20260941,20260942,20260964,11,225,475,0.09143448621034622,0.05895105501015981,0.022228018527714367,0.3298754096031189
dim2560_adversarial_relative_retention_suite,2560,1,14,ho_advantage_final_k3,ho_advantage,positive,3,1.0,1.0,0.34657359027997264,20260941,20260942,20260964,23,150,400,0.07848873734474182,0.05902153253555298,0.011305238957287325,0.224104642868042
