critic_seed,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score,pairing_sensitivity_original_cyclic_shift_mean,pairing_sensitivity_original_cyclic_shift_sd,pairing_sensitivity_derandomized_shift_mean,pairing_sensitivity_derandomized_shift_sd,pairing_sensitivity_full_permutation_mean,pairing_sensitivity_full_permutation_sd,pairing_sensitivity_cyclic_vs_derandomized_gap,pairing_sensitivity_cyclic_vs_full_permutation_gap,layer,subset_mask,order_k,representation_dim,n_train,n_val,n_test,run_fingerprint
23,25,275,1.1920928955078125e-07,-1.9371509552001953e-07,0.0,0.0,-1.9371509552001953e-07,0.0,-1.9371509552001953e-07,0.0,-1.9371509552001953e-07,0.0,0.0,0.0,0,13,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,1.564621925354004e-07,1.1175870895385742e-07,0.0,0.0,1.1175870895385742e-07,0.0,1.1175870895385742e-07,0.0,1.1175870895385742e-07,0.0,0.0,0.0,0,13,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,-2.682209014892578e-07,-4.731118679046631e-07,0.0,0.0,-4.731118679046631e-07,0.0,-4.731118679046631e-07,0.0,-4.731118679046631e-07,0.0,0.0,0.0,0,14,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,-7.450580596923828e-08,-3.129243850708008e-07,0.0,0.0,-3.129243850708008e-07,0.0,-3.129243850708008e-07,0.0,-3.129243850708008e-07,0.0,0.0,0.0,0,14,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,1.9371509552001953e-07,4.470348358154297e-08,0.0,0.0,4.470348358154297e-08,0.0,4.470348358154297e-08,0.0,4.470348358154297e-08,0.0,0.0,0.0,0,14,3,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,25,275,-1.7136335372924805e-07,-2.0613272984822592e-07,1.7770671665666814e-07,0.0,-2.0613272984822592e-07,1.7770671665666814e-07,-2.0985802014668783e-07,1.7770671665666814e-07,-2.4586915969848633e-07,2.0647654623614278e-07,3.725290298461914e-09,3.973642985026041e-08,0,15,4,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,25,275,3.427267074584961e-07,-5.960464477539063e-08,0.0,0.0,-5.960464477539063e-08,0.0,-5.960464477539063e-08,0.0,-5.960464477539063e-08,0.0,0.0,0.0,0,15,4,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,25,275,-3.0547380447387695e-07,-5.736947059631348e-07,0.0,0.0,-5.736947059631348e-07,0.0,-5.736947059631348e-07,0.0,-5.736947059631348e-07,0.0,0.0,0.0,0,15,4,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,950,1000,0.8144584894180298,0.8352354764938354,0.3790843615131803,2.736729383468628,0.8352354764938354,0.3790843615131803,1.2579413255055745,0.1092543023525025,1.2769495248794556,0.05468007679693524,0.422705849011739,0.4417140483856201,1,1,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,650,900,0.64633409678936,0.645637720823288,0.365034035365622,1.9187862873077393,0.645637720823288,0.365034035365622,1.103025754292806,0.042302967941270704,1.1063407063484192,0.0521111397008324,0.45738803346951795,0.4607029855251312,1,1,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,650,900,0.5947964191436768,0.617716391881307,0.32718382635893495,1.998150110244751,0.617716391881307,0.32718382635893495,1.0615068276723225,0.06730863094238737,1.0699151158332825,0.0589690819778837,0.4437904357910155,0.45219872395197547,1,1,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,750,1000,1.1745997667312622,0.9498204787572225,0.36994387560341785,5.025639057159424,0.9498204787572225,0.36994387560341785,1.210293173789978,0.06048191453020627,1.2118340730667114,0.05371103101899241,0.2604726950327555,0.2620135943094889,1,2,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,1000,1000,1.1304419040679932,0.9256755808989207,0.4264311294975265,6.954273223876953,0.9256755808989207,0.4264311294975265,1.3005980253219604,0.06131865929411446,1.2924495339393616,0.06131325019679886,0.3749224444230398,0.3667739530404409,1,2,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,825,1000,1.1583087593317032,0.8984269003073374,0.35930759527724954,4.917501926422119,0.8984269003073374,0.35930759527724954,1.188407023747762,0.07704642565783051,1.2118622064590454,0.05459017055837577,0.28998012344042456,0.313435306151708,1,2,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,975,1000,0.7390251085162163,0.6554044485092163,0.37798218883254314,3.260118007659912,0.6554044485092163,0.37798218883254314,0.9851638078689575,0.03440578998641592,1.0033318400382996,0.06422925312097683,0.3297593593597412,0.34792739152908325,1,3,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,850,1000,0.7343528680503368,0.6256716698408127,0.359096870146493,3.3888497352600098,0.6256716698408127,0.359096870146493,0.8807673652966818,0.05322889894400484,0.9201544523239136,0.07342415643248824,0.2550956954558691,0.2944827824831009,1,3,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,975,1000,0.7815921306610107,0.7102675040562948,0.2964797537038797,3.3542699813842773,0.7102675040562948,0.2964797537038797,0.9863900740941366,0.06375823805908702,1.0084888339042664,0.0663395769282169,0.2761225700378418,0.29822132984797156,1,3,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,900,1000,0.9087011516094208,0.8332721789677938,0.19470263427944218,3.455273389816284,0.8332721789677938,0.19470263427944218,1.0441288153330486,0.05378631340999186,1.0337122157216072,0.03959562519493186,0.21085663636525476,0.2004400367538134,1,4,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,900,1000,1.02428437769413,0.7603810131549835,0.34287029774600775,4.068488121032715,0.7603810131549835,0.34287029774600775,1.1912754376729329,0.0395790282760344,1.0772326067090034,0.19355481363127836,0.43089442451794935,0.31685159355401993,1,4,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,825,1000,0.9257795810699463,0.7443602383136749,0.29514031738924645,3.605073928833008,0.7443602383136749,0.29514031738924645,1.138863166173299,0.03732402342317514,1.0251264944672585,0.1383800631463288,0.39450292785962415,0.2807662561535835,1,4,1,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,950,1000,0.5627827048301697,-1.425811489423116,3.1612302196271127,2.0003771781921387,-1.425811489423116,3.1612302196271127,0.9057414333025614,0.05629630878529631,0.971285380423069,0.06776283042518601,2.3315529227256775,2.3970968698461848,1,5,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,1000,1000,0.49272727966308594,0.33229778210322064,0.3771641123679218,2.0236098766326904,0.33229778210322064,0.3771641123679218,0.968681812286377,0.03271904672644914,0.9678338766098022,0.07928019045016114,0.6363840301831563,0.6355360945065816,1,5,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,875,1000,0.5128156542778015,0.0021540820598602295,0.9653735870467165,1.860837697982788,0.0021540820598602295,0.9653735870467165,0.9431244234244028,0.07760606825668794,0.9471110552549362,0.07683306639356818,0.9409703413645426,0.944956973195076,1,5,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
11,975,1000,0.989522323012352,0.7994108498096466,0.41998200256148593,4.920115947723389,0.7994108498096466,0.41998200256148593,1.0836661756038666,0.07827029588089468,1.1074738502502441,0.04444017354294679,0.28425532579421997,0.30806300044059753,1,6,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
23,825,1000,0.9672485589981079,0.7432881593704224,0.37502427158467805,4.362435817718506,0.7432881593704224,0.37502427158467805,1.004693627357483,0.08739086220961505,1.0172830820083618,0.06320918066194758,0.26140546798706055,0.27399492263793945,1,6,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
37,975,1000,1.0273175090551376,0.8123650153477987,0.41061700836782805,4.679276466369629,0.8123650153477987,0.41061700836782805,1.0719432135423024,0.08690603089043174,1.0757173299789429,0.06031836825335767,0.2595781981945037,0.26335231463114417,1,6,2,2560,7352,245,613,5da1c407274d9f2e64016876300738144d1a41605925a916babeba82ea35e9a6
