layer,order_k,subset_mask,primary_score_mean,primary_critic_seed_sd,primary_score_min,primary_score_max,mean_best_val,mean_best_step,random_null_mean,random_null_sd_across_derangements,random_null_min,random_null_max,random_null_derangements_ge_primary,n_derangements,primary_minus_random_null_mean
0,3,7,-2.8601951069302027e-07,2.2376678127625553e-07,-5.202988783518473e-07,-7.450580596923828e-08,1.0927518208821614e-07,25.0,-1.9491546683841284e-07,1.1560803480601083e-07,-3.8618842760721844e-07,-7.82310962677002e-08,4,5,-9.110404385460742e-08
0,3,11,-4.81390290790134e-07,6.407226568811132e-08,-5.289912223815918e-07,-4.0854016939798993e-07,9.437402089436849e-08,25.0,-1.8415351708730063e-07,1.8759240077612454e-07,-4.818042119344076e-07,9.934107462565104e-09,4,5,-2.972367737028334e-07
0,3,13,-7.036659452650282e-08,1.080357974863563e-07,-1.9371509552001953e-07,7.450580596923828e-09,1.1175870895385742e-07,25.0,-6.055666340721977e-08,1.6099255252877332e-07,-3.0299027760823566e-07,1.4901161193847656e-07,4,5,-9.809931119283052e-09
0,3,14,-3.0795733133951825e-07,2.3292251602199384e-07,-5.21540641784668e-07,-5.960464477539063e-08,2.02407439549764e-07,25.0,-2.1869523657692803e-07,1.2149201690781714e-07,-3.977782196468777e-07,-8.8889565732744e-08,4,5,-8.926209476259021e-08
0,4,15,-8.692344029744466e-08,9.723887816295967e-08,-1.6391277313232422e-07,2.2351741790771484e-08,1.241763432820638e-09,25.0,-1.9992391268412274e-07,1.7484408361732064e-07,-3.986060619354248e-07,6.705522537231445e-08,1,5,1.1300047238667808e-07
15,1,1,-0.00497655901643965,0.0011348482832973425,-0.006122643748919169,-0.0038532912731170654,-0.005353294933835666,33.333333333333336,-0.0037469839056332916,0.0006741179837458764,-0.004360005259513855,-0.002833430137899187,5,5,-0.0012295751108063586
15,1,2,-0.2198215143548118,0.22538683627855158,-0.46490145723025006,-0.021445587277412415,-0.0030205237368742623,133.33333333333334,-0.0036158921404017344,0.0014666296423359309,-0.005193934879369206,-0.0013478398323059082,5,5,-0.21620562221441006
15,1,4,-0.0063291266560554504,0.009516644040465616,-0.017305572827657063,-0.0003884260853131612,-0.003273680806159973,100.0,-0.0033258212937249077,0.0012604923296441212,-0.004590717454751332,-0.0015249003966649373,5,5,-0.0030033053623305427
15,1,8,-1.400769445631239,1.159076817386827,-2.721397082010905,-0.5522640943527222,0.15791241824626923,500.0,-0.006295320722791884,0.001941483876167964,-0.009316880669858722,-0.004706921676794687,5,5,-1.3944741249084471
15,2,3,-0.0022122981544170114,0.0015651940595143065,-0.0039940145798027515,-0.0010588616132736206,-0.0029327161610126495,41.666666666666664,-0.0017876076667259137,0.0005424394138618924,-0.0023517071321192714,-0.0010326154943969515,3,5,-0.0004246904876910977
15,2,5,-0.0042280637555652196,0.006173293188031149,-0.011325865983963013,-0.00010867913564046224,-0.003079762061436971,58.333333333333336,-0.0016223183936542936,0.0010785774050341148,-0.003542513483100467,-0.0010104485683970982,5,5,-0.002605745361910926
15,2,6,0.0006899574978484047,0.0008731172333378207,-0.0003070731957753499,0.0013180145372947056,-0.0018254890261838834,50.0,-0.00187742089231809,0.0008649470705599621,-0.0031182389292452074,-0.0011123514009846582,0,5,0.0025673783901664945
15,2,9,-0.3751996225780911,0.23940085647534523,-0.5808409849802653,-0.11238990227381389,0.22740823527177176,325.0,-0.0018467187674509153,0.0007118231148654084,-0.0030380627140402794,-0.0012457333505153656,5,5,-0.3733529038106402
