family,layer,order_k,critic_seed,representation_dim,target_dim,n_samples,n_train,n_val,n_test,subset_masks,null_cube_shift,best_step,final_training_step,best_val_mi,test_mi,test_product_shuffle_sd,heldout_joint_minus_mismatch_score
primary,5,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,525,775,1.250368356704712,1.1604522069295247,0.06910291152184284,3.864835500717163
primary,5,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,750,1000,1.1020548343658447,0.7955712874730428,0.050912804784559264,5.566611289978027
primary,5,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,1.2168828248977661,0.9498372475306193,0.12821691729132498,4.236527442932129
primary,5,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,450,700,1.1536411046981812,-0.08342248201370239,0.028281479012425857,1.4105556011199951
primary,5,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,375,625,0.9038426876068115,0.012908558050791422,0.03538844338043299,1.2147676944732666
primary,5,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,525,775,1.118850588798523,-0.27785293261210126,0.020338905890625612,2.020944833755493
primary,5,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,325,575,0.8364604711532593,-0.3212420741717021,0.03794065139335317,0.36164575815200806
primary,5,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,425,675,0.6659401655197144,-0.8267108996709188,0.02846241712911833,0.30387401580810547
primary,5,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,500,750,0.6804212331771851,-1.1282916069030762,0.05675237834892156,0.3161054849624634
primary,5,4,11,2560,1,8210,7352,245,613,15,0,25,275,-0.0023805033415555954,-0.0016703257181992133,0.00015612386146085486,-4.12308145314455e-05
primary,5,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.001634642481803894,-0.0007113516330718994,6.92496876597066e-05,6.76959753036499e-05
primary,5,4,37,2560,1,8210,7352,245,613,15,0,25,275,-0.0013003423810005188,-0.0010238215327262878,6.691072046313729e-05,5.348026752471924e-05
primary,6,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,400,650,0.8386474847793579,1.3730953137079875,0.011354972787033095,3.1029536724090576
primary,6,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,425,675,1.0578316450119019,1.299200216929118,0.05815352792259621,3.6777570247650146
primary,6,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,525,775,0.8370386362075806,0.8258347113927206,0.10224129006099894,3.9879150390625
primary,6,2,11,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,475,725,1.1237235069274902,0.2561822831630707,0.031539535552535164,1.7702239751815796
primary,6,2,23,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,375,625,0.855977475643158,-0.031374613444010414,0.03361646938146033,1.5248918533325195
primary,6,2,37,2560,1,49260,44112,1470,3678,3;5;6;9;10;12,0,425,675,1.0176372528076172,0.09009506305058797,0.05603115701735868,1.8716254234313965
primary,6,3,11,2560,1,32840,29408,980,2452,7;11;13;14,0,350,600,0.6485371589660645,-0.5252227783203125,0.045818506124365964,0.266947865486145
primary,6,3,23,2560,1,32840,29408,980,2452,7;11;13;14,0,450,700,0.6176798343658447,-0.8690014680226644,0.044260450087155616,0.35301995277404785
primary,6,3,37,2560,1,32840,29408,980,2452,7;11;13;14,0,325,575,0.6174718737602234,-0.4652085502942403,0.03502869441568637,0.36622607707977295
primary,6,4,11,2560,1,8210,7352,245,613,15,0,25,275,-0.0035080686211586,-0.0016837635387976964,0.00021759792345643335,-0.00035444460809230804
primary,6,4,23,2560,1,8210,7352,245,613,15,0,25,275,-0.0018013864755630493,-0.0010782281557718913,7.130039939767772e-05,3.4868717193603516e-05
primary,6,4,37,2560,1,8210,7352,245,613,15,0,250,500,0.06786203011870384,-0.6007950107256571,0.02949336326898316,-0.038217008113861084
primary,7,1,11,2560,1,32840,29408,980,2452,1;2;4;8,0,350,600,0.5139303207397461,0.7958511511484782,0.16411939717898852,1.8672147989273071
primary,7,1,23,2560,1,32840,29408,980,2452,1;2;4;8,0,475,725,0.9950222969055176,0.8470337788263956,0.24552473411194622,4.379857540130615
primary,7,1,37,2560,1,32840,29408,980,2452,1;2;4;8,0,500,750,0.7606102824211121,0.2798021237055461,0.19906113719562,3.295742988586426
